租金(元),面积(平米),均价,评分,户型,室,厅,卫,装修,出租方式,面积评分,租金评分,装修评分,地址评分,总评分,地址,url
4900.0,49.0,100.0,100%,2室1厅1卫,2,1,1,精装修,整租,1,0,1,2,4,深圳龙华区民治街道（人民南路与新区大道、腾龙路交汇处）,http://sz.zu.fang.com/chuzu/3_209879150_1.htm
4800.0,47.0,102.13,100%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,"深圳龙华区梅龙路与民乐路的交汇处(梅林检查站附近,地铁4号线白",http://sz.zu.fang.com/chuzu/3_209378491_1.htm
4200.0,51.0,82.35,100%,1室0厅1卫,1,0,1,精装修,整租,1,0,1,2,4,"深圳龙华区梅龙路与民乐路的交汇处(梅林检查站附近,地铁4号线白",http://sz.zu.fang.com/chuzu/3_209625029_1.htm
4300.0,51.0,84.31,100%,1室0厅1卫,1,0,1,精装修,整租,1,0,1,2,4,"深圳龙华区梅龙路与民乐路的交汇处(梅林检查站附近,地铁4号线白",http://sz.zu.fang.com/chuzu/3_209691819_1.htm
4000.0,42.0,95.24,100%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,深圳龙华区梅龙路与金龙路交汇处,http://sz.zu.fang.com/chuzu/3_209690060_1.htm
4500.0,70.0,64.29,50%,2室2厅1卫,2,2,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华镇民治街道布龙公路南侧梅观高速公路东侧,http://sz.zu.fang.com/chuzu/3_209776016_1.htm
4300.0,45.0,95.56,0%,1室1厅1卫,1,1,1,豪华装修,整租,1,0,1,2,4,深圳龙华区民治街道（人民南路与新区大道、腾龙路交汇处）,http://sz.zu.fang.com/chuzu/3_209360772_1.htm
4800.0,78.0,61.54,100%,2室2厅2卫,2,2,2,精装修,整租,1,0,1,2,4,深圳龙华区龙华街道民福路西侧民新路口,http://sz.zu.fang.com/chuzu/3_209731821_1.htm
3000.0,42.0,71.43,0%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华镇布龙公路与明治大道交汇处,http://sz.zu.fang.com/chuzu/3_209523229_1.htm
3800.0,88.0,43.18,100%,3室2厅2卫,3,2,2,精装修,整租,1,0,1,2,4,深圳龙华区梅观高速与环观南路交汇处鹭湖国际住区,http://sz.zu.fang.com/chuzu/3_209681552_1.htm
4300.0,60.0,71.67,100%,2室2厅1卫,2,2,1,精装修,整租,1,0,1,2,4,深圳龙华区梅龙路与金龙路交汇处,http://sz.zu.fang.com/chuzu/3_209480904_1.htm
1680.0,32.0,52.5,17%,1室0厅1卫,1,0,1,精装修,整租,0,1,1,2,4,深圳龙华区龙华街道民康路,http://sz.zu.fang.com/chuzu/3_209735453_1.htm
1380.0,32.0,43.12,100%,1室0厅1卫,1,0,1,精装修,整租,0,1,1,2,4,深圳龙华新区龙华新区龙华,http://sz.zu.fang.com/chuzu/3_209750846_1.htm
4900.0,46.0,106.52,100%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,"深圳龙华区梅龙路与民乐路的交汇处(梅林检查站附近,地铁4号线白",http://sz.zu.fang.com/chuzu/3_209785067_1.htm
4500.0,69.0,65.22,100%,2室2厅1卫,2,2,1,精装修,整租,1,0,1,2,4,深圳龙华区深圳市宝安区民丰路173号,http://sz.zu.fang.com/chuzu/3_209331696_1.htm
4300.0,51.0,84.31,100%,1室0厅1卫,1,0,1,精装修,整租,1,0,1,2,4,"深圳龙华区梅龙路与民乐路的交汇处(梅林检查站附近,地铁4号线白",http://sz.zu.fang.com/chuzu/3_209691019_1.htm
4500.0,73.0,61.64,100%,2室1厅1卫,2,1,1,精装修,整租,1,0,1,2,4,深圳龙华区民治大道与民康路交汇处,http://sz.zu.fang.com/chuzu/3_209807948_1.htm
4800.0,116.0,41.38,100%,3室2厅2卫,3,2,2,精装修,整租,1,0,1,2,4,深圳龙华区宝安区龙华梅龙路与工业东路交汇处,http://sz.zu.fang.com/chuzu/3_209408660_1.htm
2900.0,43.0,67.44,100%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华镇梅龙路与龙胜路交汇处,http://sz.zu.fang.com/chuzu/3_209643241_1.htm
4300.0,73.0,58.9,100%,2室2厅1卫,2,2,1,精装修,整租,1,0,1,2,4,深圳龙华区民治大道与民康路交汇处,http://sz.zu.fang.com/chuzu/3_209879356_1.htm
3600.0,42.0,85.71,100%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,深圳龙华区梅龙路与金龙路交汇处,http://sz.zu.fang.com/chuzu/3_209191147_1.htm
1280.0,30.0,42.67,0%,1室0厅1卫,1,0,1,精装修,整租,0,1,1,2,4,深圳龙华区宝安区龙华镇,http://sz.zu.fang.com/chuzu/3_209588476_1.htm
1280.0,27.0,47.41,50%,1室0厅1卫,1,0,1,精装修,整租,0,1,1,2,4,深圳龙华区龙华新区民治简上村上塘地铁口附近,http://sz.zu.fang.com/chuzu/3_209565827_1.htm
1580.0,26.0,60.77,0%,1室1厅1卫,1,1,1,精装修,整租,0,1,1,2,4,深圳龙华区宝安龙华弓村,http://sz.zu.fang.com/chuzu/3_208310237_1.htm
4500.0,132.0,34.09,100%,4室2厅3卫,4,2,3,精装修,整租,1,0,1,2,4,深圳龙华区龙华新区观澜街道环观南路以北（梅观高速以东）鹭湖国际,http://sz.zu.fang.com/chuzu/3_209687091_1.htm
4000.0,56.0,71.43,100%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,深圳龙华区梅龙路与金龙路交汇处,http://sz.zu.fang.com/chuzu/3_209701893_1.htm
3300.0,80.0,41.25,100%,2室1厅1卫,2,1,1,精装修,整租,1,0,1,2,4,深圳龙华区深圳市宝安区龙华街道梅龙大道与清龙路交汇处,http://sz.zu.fang.com/chuzu/3_208658342_1.htm
4400.0,69.0,63.77,0%,2室2厅1卫,2,2,1,精装修,整租,1,0,1,2,4,深圳龙华区民治大道141号,http://sz.zu.fang.com/chuzu/3_209795661_1.htm
4800.0,56.0,85.71,100%,2室1厅1卫,2,1,1,精装修,整租,1,0,1,2,4,深圳龙华区梅龙路与金龙路交汇处,http://sz.zu.fang.com/chuzu/3_209273967_1.htm
4300.0,70.0,61.43,100%,2室2厅1卫,2,2,1,精装修,整租,1,0,1,2,4,深圳龙华区深圳市宝安区民丰路173号,http://sz.zu.fang.com/chuzu/3_209470874_1.htm
4500.0,62.0,72.58,0%,2室2厅1卫,2,2,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华拓展区梅龙路与民兴路交汇处西南,http://sz.zu.fang.com/chuzu/3_208909911_1.htm
4300.0,51.0,84.31,100%,1室0厅1卫,1,0,1,精装修,整租,1,0,1,2,4,"深圳龙华区梅龙路与民乐路的交汇处(梅林检查站附近,地铁4号线白",http://sz.zu.fang.com/chuzu/3_209704049_1.htm
4800.0,102.0,47.06,100%,3室2厅2卫,3,2,2,精装修,整租,1,0,1,2,4,深圳龙华区观澜大和路与工业大道交汇处,http://sz.zu.fang.com/chuzu/3_209685985_1.htm
4200.0,89.0,47.19,100%,3室2厅1卫,3,2,1,豪华装修,整租,1,0,1,2,4,深圳龙华区大和路与竹园路交汇处，大和路西侧,http://sz.zu.fang.com/chuzu/3_209586025_1.htm
4500.0,90.0,50.0,100%,3室2厅1卫,3,2,1,精装修,整租,1,0,1,2,4,深圳龙华新区龙华新区清泉路与建设东路交汇处,http://sz.zu.fang.com/chuzu/3_209832446_1.htm
4500.0,116.0,38.79,100%,2室2厅1卫,2,2,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华东环一路,http://sz.zu.fang.com/chuzu/3_209639242_1.htm
3000.0,88.0,34.09,100%,3室2厅1卫,3,2,1,精装修,整租,1,0,1,2,4,深圳龙华新区观澜街道环观南路北侧(观澜高新科技园站旁),http://sz.zu.fang.com/chuzu/3_209240143_1.htm
3900.0,45.0,86.67,100%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,深圳龙华区民治街道（人民南路与新区大道、腾龙路交汇处）,http://sz.zu.fang.com/chuzu/3_209597251_1.htm
4200.0,56.0,75.0,100%,2室1厅1卫,2,1,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华镇布龙公路与明治大道交汇处,http://sz.zu.fang.com/chuzu/3_209908034_1.htm
4300.0,74.0,58.11,100%,2室2厅1卫,2,2,1,豪华装修,整租,1,0,1,2,4,深圳龙华区宝安区龙华梅龙路东侧与民安路交汇处东南角,http://sz.zu.fang.com/chuzu/3_209706980_1.htm
1100.0,28.0,39.29,100%,1室0厅1卫,1,0,1,精装修,整租,0,1,1,2,4,深圳龙华区龙华东环二路与三联路交汇处,http://sz.zu.fang.com/chuzu/3_209812736_1.htm
4600.0,53.0,86.79,100%,2室2厅1卫,2,2,1,精装修,整租,1,0,1,2,4,深圳龙华区腾龙路与中梅路交汇处,http://sz.zu.fang.com/chuzu/3_209728989_1.htm
3800.0,89.0,42.7,100%,3室2厅1卫,3,2,1,精装修,整租,1,0,1,2,4,深圳龙华区观澜街道环观南路北侧,http://sz.zu.fang.com/chuzu/3_209468756_1.htm
4800.0,98.0,48.98,100%,3室2厅2卫,3,2,2,精装修,整租,1,0,1,2,4,深圳龙华区龙华民治大道万众城路段,http://sz.zu.fang.com/chuzu/3_209908245_1.htm
4900.0,52.0,94.23,100%,2室2厅1卫,2,2,1,豪华装修,整租,1,0,1,2,4,深圳龙华区腾龙路与中梅路交汇处,http://sz.zu.fang.com/chuzu/3_209846139_1.htm
4800.0,52.0,92.31,100%,2室1厅1卫,2,1,1,精装修,整租,1,0,1,2,4,深圳龙华区梅龙路与金龙路交汇处,http://sz.zu.fang.com/chuzu/3_209716448_1.htm
2800.0,60.0,46.67,100%,2室1厅1卫,2,1,1,精装修,整租,1,0,1,2,4,深圳龙华区广东省深圳市宝安区民清路9,http://sz.zu.fang.com/chuzu/3_209486136_1.htm
4200.0,51.0,82.35,100%,1室0厅1卫,1,0,1,精装修,整租,1,0,1,2,4,"深圳龙华区梅龙路与民乐路的交汇处(梅林检查站附近,地铁4号线白",http://sz.zu.fang.com/chuzu/3_209676193_1.htm
3600.0,53.0,67.92,100%,2室1厅1卫,2,1,1,豪华装修,整租,1,0,1,2,4,深圳龙华区观澜大和路和环观南路交汇处,http://sz.zu.fang.com/chuzu/3_209694542_1.htm
4500.0,51.0,88.24,100%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,"深圳龙华区梅龙路与民乐路的交汇处(梅林检查站附近,地铁4号线白",http://sz.zu.fang.com/chuzu/3_209460824_1.htm
4800.0,47.0,102.13,100%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,"深圳龙华区梅龙路与民乐路的交汇处(梅林检查站附近,地铁4号线白",http://sz.zu.fang.com/chuzu/3_209149807_1.htm
4100.0,89.0,46.07,100%,3室2厅1卫,3,2,1,豪华装修,整租,1,0,1,2,4,深圳龙华区龙华新区政府旁观澜大道与环观南路交汇处,http://sz.zu.fang.com/chuzu/3_209318136_1.htm
2600.0,118.0,22.03,67%,3室2厅2卫,3,2,2,精装修,整租,1,0,1,2,4,深圳龙华区观澜大和路大和村,http://sz.zu.fang.com/chuzu/3_209878831_1.htm
3500.0,45.0,77.78,100%,1室1厅1卫,1,1,1,豪华装修,整租,1,0,1,2,4,深圳龙华区龙华拓展区梅龙路与民兴路交汇处西南,http://sz.zu.fang.com/chuzu/3_209192781_1.htm
4200.0,87.0,48.28,100%,2室2厅1卫,2,2,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华二线拓展区人民路南侧,http://sz.zu.fang.com/chuzu/3_209894719_1.htm
4200.0,51.0,82.35,100%,1室0厅1卫,1,0,1,精装修,整租,1,0,1,2,4,"深圳龙华区梅龙路与民乐路的交汇处(梅林检查站附近,地铁4号线白",http://sz.zu.fang.com/chuzu/3_209364384_1.htm
4500.0,61.0,73.77,100%,2室2厅1卫,2,2,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华镇民治大道与民丰路交汇处,http://sz.zu.fang.com/chuzu/3_209761862_1.htm
4500.0,89.0,50.56,100%,3室2厅1卫,3,2,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华新区政府旁观澜大道与环观南路交汇处,http://sz.zu.fang.com/chuzu/3_209741005_1.htm
2300.0,49.0,46.94,100%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,深圳龙华区观澜街道泗黎路与悦兴路交汇处,http://sz.zu.fang.com/chuzu/3_209858121_1.htm
1580.0,36.0,43.89,50%,1室1厅1卫,1,1,1,精装修,整租,0,1,1,2,4,深圳龙华区腾龙路与简上路交汇处,http://sz.zu.fang.com/chuzu/3_209565958_1.htm
4500.0,71.0,63.38,100%,2室2厅1卫,2,2,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华中心区东环一路与建设路交汇处,http://sz.zu.fang.com/chuzu/3_208901440_1.htm
4600.0,66.0,69.7,100%,2室2厅1卫,2,2,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华民治路与民康路交汇处,http://sz.zu.fang.com/chuzu/3_209430372_1.htm
4800.0,47.0,102.13,100%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,"深圳龙华区梅龙路与民乐路的交汇处(梅林检查站附近,地铁4号线白",http://sz.zu.fang.com/chuzu/3_209364140_1.htm
4500.0,69.0,65.22,100%,2室2厅1卫,2,2,1,精装修,整租,1,0,1,2,4,深圳龙华区深圳市宝安区民丰路173号,http://sz.zu.fang.com/chuzu/3_209620064_1.htm
4300.0,90.0,47.78,100%,4室2厅2卫,4,2,2,精装修,整租,1,0,1,2,4,深圳龙华区龙华新区政府旁观澜大道与环观南路交汇处,http://sz.zu.fang.com/chuzu/3_209849112_1.htm
4800.0,78.0,61.54,100%,2室2厅1卫,2,2,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华新区人民路与腾龙路交汇东侧,http://sz.zu.fang.com/chuzu/3_209192540_1.htm
4200.0,89.0,47.19,100%,3室2厅2卫,3,2,2,精装修,整租,1,0,1,2,4,深圳龙华区观澜大道和人民路交汇处,http://sz.zu.fang.com/chuzu/3_209858100_1.htm
2400.0,58.0,41.38,50%,2室1厅1卫,2,1,1,精装修,整租,1,0,1,2,4,深圳龙华区龙华镇东环二路与龙观东路交汇处,http://sz.zu.fang.com/chuzu/3_209567955_1.htm
4500.0,52.0,86.54,100%,2室1厅1卫,2,1,1,精装修,整租,1,0,1,2,4,深圳龙华区梅龙路与金龙路交汇处,http://sz.zu.fang.com/chuzu/3_209718203_1.htm
4100.0,89.0,46.07,100%,3室2厅1卫,3,2,1,豪华装修,整租,1,0,1,2,4,深圳龙华区大和路与竹园路交汇处，大和路西侧,http://sz.zu.fang.com/chuzu/3_209311720_1.htm
1280.0,28.0,45.71,0%,1室0厅1卫,1,0,1,精装修,整租,0,1,1,2,4,深圳龙华区龙华人民路与和平路交界处,http://sz.zu.fang.com/chuzu/3_209742351_1.htm
4800.0,76.0,63.16,0%,2室2厅1卫,2,2,1,豪华装修,整租,1,0,1,2,4,深圳龙华区民治街道（人民南路与新区大道、腾龙路交汇处）,http://sz.zu.fang.com/chuzu/3_209656834_1.htm
4800.0,47.0,102.13,100%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,"深圳龙华区梅龙路与民乐路的交汇处(梅林检查站附近,地铁4号线白",http://sz.zu.fang.com/chuzu/3_209544765_1.htm
4800.0,47.0,102.13,100%,1室1厅1卫,1,1,1,精装修,整租,1,0,1,2,4,"深圳龙华区梅龙路与民乐路的交汇处(梅林检查站附近,地铁4号线白",http://sz.zu.fang.com/chuzu/3_209717180_1.htm
4800.0,95.0,50.53,100%,3室2厅2卫,3,2,2,精装修,整租,1,0,1,2,4,深圳龙华区龙华东环二路与三联路交汇处,http://sz.zu.fang.com/chuzu/3_209364020_1.htm
4300.0,72.0,59.72,100%,2室2厅1卫,2,2,1,精装修,整租,1,0,1,2,4,深圳龙华区深圳市宝安区民丰路173号,http://sz.zu.fang.com/chuzu/3_209185053_1.htm
